ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-01-01 00:07:40,2.3989559355937975,-87.74445010315225,91.34779668685357,2.3989559355937975,2.3989559355937975,0.0,0.0,0.0,0.0,0.0,0.0,2.3989559355937975
2025-01-01 00:07:45,2.347730110781109,-85.63334004828064,100.48811329319747,2.347730110781109,2.347730110781109,0.0,0.0,0.0,0.0,0.0,0.0,2.347730110781109
2025-01-01 00:07:50,2.2965042859684197,-90.3036553422276,95.48411395143746,2.2965042859684197,2.2965042859684197,0.0,0.0,0.0,0.0,0.0,0.0,2.2965042859684197
2025-01-01 00:07:55,2.2452784611557313,-88.04622490777652,89.25055234275155,2.2452784611557313,2.2452784611557313,0.0,0.0,0.0,0.0,0.0,0.0,2.2452784611557313
2025-01-01 00:08:00,2.194052636343042,-88.10316661137712,92.74388338863119,2.194052636343042,2.194052636343042,0.0,0.0,0.0,0.0,0.0,0.0,2.194052636343042
2025-01-01 00:08:05,2.1428268115303535,-83.74825508200394,92.54015145390373,2.1428268115303535,2.1428268115303535,0.0,0.0,0.0,0.0,0.0,0.0,2.1428268115303535
2025-01-01 00:08:10,2.091600986717665,-86.86994254953144,97.34501898145147,2.091600986717665,2.091600986717665,0.0,0.0,0.0,0.0,0.0,0.0,2.091600986717665
2025-01-01 00:08:15,2.0403751619049717,-93.37100366014118,86.0519787911629,2.0403751619049717,2.0403751619049717,0.0,0.0,0.0,0.0,0.0,0.0,2.0403751619049717
2025-01-01 00:08:20,2.0000273339662322,-83.87384589378041,91.616619756523,2.0000273339662322,2.0000273339662322,0.0,0.0,0.0,0.0,0.0,0.0,2.0000273339662322
2025-01-01 00:08:25,1.9596795060274934,-92.11821519465177,90.90498769308961,1.9596795060274934,1.9596795060274934,0.0,0.0,0.0,0.0,0.0,0.0,1.9596795060274934
2025-01-01 00:08:30,1.919331678088754,-92.30255395802332,86.12377999161373,1.919331678088754,1.919331678088754,0.0,0.0,0.0,0.0,0.0,0.0,1.919331678088754
2025-01-01 00:08:35,1.8789838501500145,-84.50384029324438,92.67404659189633,1.8789838501500145,1.8789838501500145,0.0,0.0,0.0,0.0,0.0,0.0,1.8789838501500145
2025-01-01 00:08:40,1.838636022211275,-88.13869234193132,94.295984762696,1.838636022211275,1.838636022211275,0.0,0.0,0.0,0.0,0.0,0.0,1.838636022211275
2025-01-01 00:08:45,1.7982881942725362,-92.63753453489308,93.47015403537286,1.7982881942725362,1.7982881942725362,0.0,0.0,0.0,0.0,0.0,0.0,1.7982881942725362
2025-01-01 00:08:50,1.7579403663337727,-88.19560631351344,85.83247701272724,1.7579403663337727,1.7579403663337727,0.0,0.0,0.0,0.0,0.0,0.0,1.7579403663337727
2025-01-01 00:08:55,1.7175933277748614,-93.33399568295263,89.73718080924199,1.7175933277748614,1.7175933277748614,0.0,0.0,0.0,0.0,0.0,0.0,1.7175933277748614
